sample_id	cram	crai	population
HG02684	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242409/HG02684.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242409/HG02684.final.cram.crai	PJL
HG02690	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243017/HG02690.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243017/HG02690.final.cram.crai	PJL
HG02805	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242430/HG02805.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242430/HG02805.final.cram.crai	GWD
HG02855	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242534/HG02855.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242534/HG02855.final.cram.crai	GWD
HG02882	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242948/HG02882.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242948/HG02882.final.cram.crai	GWD
HG02971	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242602/HG02971.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242602/HG02971.final.cram.crai	ESN
HG03007	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242643/HG03007.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242643/HG03007.final.cram.crai	BEB
HG03045	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242449/HG03045.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242449/HG03045.final.cram.crai	GWD
HG03057	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242468/HG03057.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242468/HG03057.final.cram.crai	MSL
HG03061	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242548/HG03061.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242548/HG03061.final.cram.crai	MSL
HG03073	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242955/HG03073.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242955/HG03073.final.cram.crai	MSL
HG03082	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242959/HG03082.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242959/HG03082.final.cram.crai	MSL
HG03096	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242473/HG03096.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242473/HG03096.final.cram.crai	MSL
HG03135	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242500/HG03135.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242500/HG03135.final.cram.crai	ESN
HG03159	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242613/HG03159.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242613/HG03159.final.cram.crai	ESN
HG03235	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242628/HG03235.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242628/HG03235.final.cram.crai	PJL
HG03342	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242624/HG03342.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242624/HG03342.final.cram.crai	ESN
HG03367	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242598/HG03367.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242598/HG03367.final.cram.crai	ESN
HG03385	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242544/HG03385.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242544/HG03385.final.cram.crai	MSL
HG03432	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242968/HG03432.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242968/HG03432.final.cram.crai	MSL
HG03445	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242553/HG03445.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242553/HG03445.final.cram.crai	MSL
HG03571	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242579/HG03571.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242579/HG03571.final.cram.crai	MSL
HG03716	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242699/HG03716.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242699/HG03716.final.cram.crai	ITU
HG03773	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242712/HG03773.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242712/HG03773.final.cram.crai	ITU
HG03898	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242695/HG03898.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242695/HG03898.final.cram.crai	STU
HG03911	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242848/HG03911.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242848/HG03911.final.cram.crai	BEB
HG03998	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243105/HG03998.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243105/HG03998.final.cram.crai	STU
